chapter	chapter_text	block	block_text	group	group_text	code	code_text	position
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A04	Other bacterial intestinal infections	A042	Enteroinvasive Escherichia coli infection	T
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A04	Other bacterial intestinal infections	A043	Enterohaemorrhagic Escherichia coli infection	T
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A04	Other bacterial intestinal infections	A044	Other intestinal Escherichia coli infections	T
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A04	Other bacterial intestinal infections	A045	Campylobacter enteritis	T
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A04	Other bacterial intestinal infections	A046	Enteritis due to Yersinia enterocolitica	T
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A04	Other bacterial intestinal infections	A047	Enterocolitis due to Clostridium difficile	T
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A04	Other bacterial intestinal infections	A048	Other specified bacterial intestinal infections	T
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A04	Other bacterial intestinal infections	A049	Bacterial intestinal infection, unspecified	T
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A05	Other bacterial foodborne intoxications, not elsewhere classified	A05	Other bacterial foodborne intoxications, not elsewhere classified	N
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A05	Other bacterial foodborne intoxications, not elsewhere classified	A050	Foodborne staphylococcal intoxication	T
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A05	Other bacterial foodborne intoxications, not elsewhere classified	A051	Botulism	T
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A05	Other bacterial foodborne intoxications, not elsewhere classified	A052	Foodborne Clostridium perfringens [Clostridium welchii] intoxication	T
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A05	Other bacterial foodborne intoxications, not elsewhere classified	A053	Foodborne Vibrio parahaemolyticus intoxication	T
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A05	Other bacterial foodborne intoxications, not elsewhere classified	A054	Foodborne Bacillus cereus intoxication	T
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A05	Other bacterial foodborne intoxications, not elsewhere classified	A058	Other specified bacterial foodborne intoxications	T
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A05	Other bacterial foodborne intoxications, not elsewhere classified	A059	Bacterial foodborne intoxication, unspecified	T
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A06	Amoebiasis	A06	Amoebiasis	N
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A06	Amoebiasis	A060	Acute amoebic dysentery	T
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A06	Amoebiasis	A061	Chronic intestinal amoebiasis	T
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A06	Amoebiasis	A062	Amoebic nondysenteric colitis	T
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A06	Amoebiasis	A063	Amoeboma of intestine	T
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A06	Amoebiasis	A064	Amoebic liver abscess	T
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A06	Amoebiasis	A065	Amoebic lung abscess	T
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A06	Amoebiasis	A066	Amoebic brain abscess	T
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A06	Amoebiasis	A067	Cutaneous amoebiasis	T
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A06	Amoebiasis	A068	Amoebic infection of other sites	T
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A06	Amoebiasis	A069	Amoebiasis, unspecified	T
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A07	Other protozoal intestinal diseases	A07	Other protozoal intestinal diseases	N
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A07	Other protozoal intestinal diseases	A070	Balantidiasis	T
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A07	Other protozoal intestinal diseases	A071	Giardiasis [lambliasis]	T
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A07	Other protozoal intestinal diseases	A072	Cryptosporidiosis	T
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A07	Other protozoal intestinal diseases	A073	Isosporiasis	T
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A07	Other protozoal intestinal diseases	A078	Other specified protozoal intestinal diseases	T
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A07	Other protozoal intestinal diseases	A079	Protozoal intestinal disease, unspecified	T
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A08	Viral and other specified intestinal infections	A08	Viral and other specified intestinal infections	N
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A08	Viral and other specified intestinal infections	A080	Rotaviral enteritis	T
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A08	Viral and other specified intestinal infections	A081	Acute gastroenteropathy due to Norwalk agent	T
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A08	Viral and other specified intestinal infections	A082	Adenoviral enteritis	T
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A08	Viral and other specified intestinal infections	A083	Other viral enteritis	T
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A08	Viral and other specified intestinal infections	A084	Viral intestinal infection, unspecified	T
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A08	Viral and other specified intestinal infections	A085	Other specified intestinal infections	T
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A09	Other gastroenteritis and colitis of infectious and unspecified origin	A09	Other gastroenteritis and colitis of infectious and unspecified origin	N
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A09	Other gastroenteritis and colitis of infectious and unspecified origin	A090	Other and unspecified gastroenteritis and colitis of infectious origin	T
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A09	Other gastroenteritis and colitis of infectious and unspecified origin	A099	Gastroenteritis and colitis of unspecified origin	T
1.0	Certain infectious and parasitic diseases	A15_A19	Tuberculosis	A15	Respiratory tuberculosis, bacteriologically and histologically confirmed	A15	Respiratory tuberculosis, bacteriologically and histologically confirmed	N
1.0	Certain infectious and parasitic diseases	A15_A19	Tuberculosis	A15	Respiratory tuberculosis, bacteriologically and histologically confirmed	A150	Tuberculosis of lung, confirmed by sputum microscopy with or without culture	T
1.0	Certain infectious and parasitic diseases	A15_A19	Tuberculosis	A15	Respiratory tuberculosis, bacteriologically and histologically confirmed	A151	Tuberculosis of lung, confirmed by culture only	T
1.0	Certain infectious and parasitic diseases	A15_A19	Tuberculosis	A15	Respiratory tuberculosis, bacteriologically and histologically confirmed	A152	Tuberculosis of lung, confirmed histologically	T
1.0	Certain infectious and parasitic diseases	A15_A19	Tuberculosis	A15	Respiratory tuberculosis, bacteriologically and histologically confirmed	A153	Tuberculosis of lung, confirmed by unspecified means	T
1.0	Certain infectious and parasitic diseases	A15_A19	Tuberculosis	A15	Respiratory tuberculosis, bacteriologically and histologically confirmed	A154	Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically	T
1.0	Certain infectious and parasitic diseases	A15_A19	Tuberculosis	A15	Respiratory tuberculosis, bacteriologically and histologically confirmed	A155	Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically	T
1.0	Certain infectious and parasitic diseases	A15_A19	Tuberculosis	A15	Respiratory tuberculosis, bacteriologically and histologically confirmed	A156	Tuberculous pleurisy, confirmed bacteriologically and histologically	T
1.0	Certain infectious and parasitic diseases	A15_A19	Tuberculosis	A15	Respiratory tuberculosis, bacteriologically and histologically confirmed	A157	Primary respiratory tuberculosis, confirmed bacteriologically and histologically	T
1.0	Certain infectious and parasitic diseases	A15_A19	Tuberculosis	A15	Respiratory tuberculosis, bacteriologically and histologically confirmed	A158	Other respiratory tuberculosis, confirmed bacteriologically and histologically	T
1.0	Certain infectious and parasitic diseases	A15_A19	Tuberculosis	A15	Respiratory tuberculosis, bacteriologically and histologically confirmed	A159	Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically	T
1.0	Certain infectious and parasitic diseases	A15_A19	Tuberculosis	A16	Respiratory tuberculosis, not confirmed bacteriologically or histologically	A16	Respiratory tuberculosis, not confirmed bacteriologically or histologically	N
1.0	Certain infectious and parasitic diseases	A15_A19	Tuberculosis	A16	Respiratory tuberculosis, not confirmed bacteriologically or histologically	A160	Tuberculosis of lung, bacteriologically and histologically negative	T
1.0	Certain infectious and parasitic diseases	A15_A19	Tuberculosis	A16	Respiratory tuberculosis, not confirmed bacteriologically or histologically	A161	Tuberculosis of lung, bacteriological and histological examination not done	T
1.0	Certain infectious and parasitic diseases	A15_A19	Tuberculosis	A16	Respiratory tuberculosis, not confirmed bacteriologically or histologically	A162	Tuberculosis of lung, without mention of bacteriological or histological confirmation	T
1.0	Certain infectious and parasitic diseases	A15_A19	Tuberculosis	A16	Respiratory tuberculosis, not confirmed bacteriologically or histologically	A163	Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation	T
1.0	Certain infectious and parasitic diseases	A15_A19	Tuberculosis	A16	Respiratory tuberculosis, not confirmed bacteriologically or histologically	A164	Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation	T
1.0	Certain infectious and parasitic diseases	A15_A19	Tuberculosis	A16	Respiratory tuberculosis, not confirmed bacteriologically or histologically	A165	Tuberculous pleurisy, without mention of bacteriological or histological confirmation	T
1.0	Certain infectious and parasitic diseases	A15_A19	Tuberculosis	A16	Respiratory tuberculosis, not confirmed bacteriologically or histologically	A167	Primary respiratory tuberculosis without mention of bacteriological or histological confirmation	T
1.0	Certain infectious and parasitic diseases	A15_A19	Tuberculosis	A16	Respiratory tuberculosis, not confirmed bacteriologically or histologically	A168	Other respiratory tuberculosis, without mention of bacteriological or histological confirmation	T
1.0	Certain infectious and parasitic diseases	A15_A19	Tuberculosis	A16	Respiratory tuberculosis, not confirmed bacteriologically or histologically	A169	Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation	T
1.0	Certain infectious and parasitic diseases	A15_A19	Tuberculosis	A17	Tuberculosis of nervous system	A17	Tuberculosis of nervous system	N
1.0	Certain infectious and parasitic diseases	A15_A19	Tuberculosis	A17	Tuberculosis of nervous system	A170	Tuberculous meningitis	T
1.0	Certain infectious and parasitic diseases	A15_A19	Tuberculosis	A17	Tuberculosis of nervous system	A171	Meningeal tuberculoma	T
1.0	Certain infectious and parasitic diseases	A15_A19	Tuberculosis	A17	Tuberculosis of nervous system	A178	Other tuberculosis of nervous system	T
1.0	Certain infectious and parasitic diseases	A15_A19	Tuberculosis	A17	Tuberculosis of nervous system	A179	Tuberculosis of nervous system, unspecified	T
1.0	Certain infectious and parasitic diseases	A15_A19	Tuberculosis	A18	Tuberculosis of other organs	A18	Tuberculosis of other organs	N
1.0	Certain infectious and parasitic diseases	A15_A19	Tuberculosis	A18	Tuberculosis of other organs	A180	Tuberculosis of bones and joints	T
1.0	Certain infectious and parasitic diseases	A15_A19	Tuberculosis	A18	Tuberculosis of other organs	A181	Tuberculosis of genitourinary system	T
1.0	Certain infectious and parasitic diseases	A15_A19	Tuberculosis	A18	Tuberculosis of other organs	A182	Tuberculous peripheral lymphadenopathy	T
1.0	Certain infectious and parasitic diseases	A15_A19	Tuberculosis	A18	Tuberculosis of other organs	A183	Tuberculosis of intestines, peritoneum and mesenteric glands	T
1.0	Certain infectious and parasitic diseases	A15_A19	Tuberculosis	A18	Tuberculosis of other organs	A184	Tuberculosis of skin and subcutaneous tissue	T
1.0	Certain infectious and parasitic diseases	A15_A19	Tuberculosis	A18	Tuberculosis of other organs	A185	Tuberculosis of eye	T
1.0	Certain infectious and parasitic diseases	A15_A19	Tuberculosis	A18	Tuberculosis of other organs	A186	Tuberculosis of ear	T
1.0	Certain infectious and parasitic diseases	A15_A19	Tuberculosis	A18	Tuberculosis of other organs	A187	Tuberculosis of adrenal glands	T
1.0	Certain infectious and parasitic diseases	A15_A19	Tuberculosis	A18	Tuberculosis of other organs	A188	Tuberculosis of other specified organs	T
1.0	Certain infectious and parasitic diseases	A15_A19	Tuberculosis	A19	Miliary tuberculosis	A19	Miliary tuberculosis	N
1.0	Certain infectious and parasitic diseases	A15_A19	Tuberculosis	A19	Miliary tuberculosis	A190	Acute miliary tuberculosis of a single specified site	T
1.0	Certain infectious and parasitic diseases	A15_A19	Tuberculosis	A19	Miliary tuberculosis	A191	Acute miliary tuberculosis of multiple sites	T
1.0	Certain infectious and parasitic diseases	A15_A19	Tuberculosis	A19	Miliary tuberculosis	A192	Acute miliary tuberculosis, unspecified	T
1.0	Certain infectious and parasitic diseases	A15_A19	Tuberculosis	A19	Miliary tuberculosis	A198	Other miliary tuberculosis	T
1.0	Certain infectious and parasitic diseases	A15_A19	Tuberculosis	A19	Miliary tuberculosis	A199	Miliary tuberculosis, unspecified	T
1.0	Certain infectious and parasitic diseases	A20_A28	Certain zoonotic bacterial diseases	A20	Plague	A20	Plague	N
1.0	Certain infectious and parasitic diseases	A20_A28	Certain zoonotic bacterial diseases	A20	Plague	A200	Bubonic plague	T
1.0	Certain infectious and parasitic diseases	A20_A28	Certain zoonotic bacterial diseases	A20	Plague	A201	Cellulocutaneous plague	T
1.0	Certain infectious and parasitic diseases	A20_A28	Certain zoonotic bacterial diseases	A20	Plague	A202	Pneumonic plague	T
1.0	Certain infectious and parasitic diseases	A20_A28	Certain zoonotic bacterial diseases	A20	Plague	A203	Plague meningitis	T
1.0	Certain infectious and parasitic diseases	A20_A28	Certain zoonotic bacterial diseases	A20	Plague	A207	Septicaemic plague	T
1.0	Certain infectious and parasitic diseases	A20_A28	Certain zoonotic bacterial diseases	A20	Plague	A208	Other forms of plague	T
1.0	Certain infectious and parasitic diseases	A20_A28	Certain zoonotic bacterial diseases	A20	Plague	A209	Plague, unspecified	T
1.0	Certain infectious and parasitic diseases	A20_A28	Certain zoonotic bacterial diseases	A21	Tularaemia	A21	Tularaemia	N
1.0	Certain infectious and parasitic diseases	A20_A28	Certain zoonotic bacterial diseases	A21	Tularaemia	A210	Ulceroglandular tularaemia	T
1.0	Certain infectious and parasitic diseases	A20_A28	Certain zoonotic bacterial diseases	A21	Tularaemia	A211	Oculoglandular tularaemia	T
1.0	Certain infectious and parasitic diseases	A20_A28	Certain zoonotic bacterial diseases	A21	Tularaemia	A212	Pulmonary tularaemia	T
1.0	Certain infectious and parasitic diseases	A20_A28	Certain zoonotic bacterial diseases	A21	Tularaemia	A213	Gastrointestinal tularaemia	T
1.0	Certain infectious and parasitic diseases	A20_A28	Certain zoonotic bacterial diseases	A21	Tularaemia	A217	Generalized tularaemia	T
1.0	Certain infectious and parasitic diseases	A20_A28	Certain zoonotic bacterial diseases	A21	Tularaemia	A218	Other forms of tularaemia	T
1.0	Certain infectious and parasitic diseases	A20_A28	Certain zoonotic bacterial diseases	A21	Tularaemia	A219	Tularaemia, unspecified	T
1.0	Certain infectious and parasitic diseases	A20_A28	Certain zoonotic bacterial diseases	A22	Anthrax	A22	Anthrax	N
1.0	Certain infectious and parasitic diseases	A20_A28	Certain zoonotic bacterial diseases	A22	Anthrax	A220	Cutaneous anthrax	T
1.0	Certain infectious and parasitic diseases	A20_A28	Certain zoonotic bacterial diseases	A22	Anthrax	A221	Pulmonary anthrax	T
1.0	Certain infectious and parasitic diseases	A20_A28	Certain zoonotic bacterial diseases	A22	Anthrax	A222	Gastrointestinal anthrax	T
1.0	Certain infectious and parasitic diseases	A20_A28	Certain zoonotic bacterial diseases	A22	Anthrax	A227	Anthrax sepsis	T
1.0	Certain infectious and parasitic diseases	A20_A28	Certain zoonotic bacterial diseases	A22	Anthrax	A228	Other forms of anthrax	T
1.0	Certain infectious and parasitic diseases	A20_A28	Certain zoonotic bacterial diseases	A22	Anthrax	A229	Anthrax, unspecified	T
1.0	Certain infectious and parasitic diseases	A20_A28	Certain zoonotic bacterial diseases	A23	Brucellosis	A23	Brucellosis	N
1.0	Certain infectious and parasitic diseases	A20_A28	Certain zoonotic bacterial diseases	A23	Brucellosis	A230	Brucellosis due to Brucella melitensis	T
1.0	Certain infectious and parasitic diseases	A20_A28	Certain zoonotic bacterial diseases	A23	Brucellosis	A231	Brucellosis due to Brucella abortus	T
1.0	Certain infectious and parasitic diseases	A20_A28	Certain zoonotic bacterial diseases	A23	Brucellosis	A232	Brucellosis due to Brucella suis	T
1.0	Certain infectious and parasitic diseases	A20_A28	Certain zoonotic bacterial diseases	A23	Brucellosis	A233	Brucellosis due to Brucella canis	T
1.0	Certain infectious and parasitic diseases	A20_A28	Certain zoonotic bacterial diseases	A23	Brucellosis	A238	Other brucellosis	T
1.0	Certain infectious and parasitic diseases	A20_A28	Certain zoonotic bacterial diseases	A23	Brucellosis	A239	Brucellosis, unspecified	T
1.0	Certain infectious and parasitic diseases	A20_A28	Certain zoonotic bacterial diseases	A24	Glanders and melioidosis	A24	Glanders and melioidosis	N
1.0	Certain infectious and parasitic diseases	A20_A28	Certain zoonotic bacterial diseases	A24	Glanders and melioidosis	A240	Glanders	T
1.0	Certain infectious and parasitic diseases	A20_A28	Certain zoonotic bacterial diseases	A24	Glanders and melioidosis	A241	Acute and fulminating melioidosis	T
1.0	Certain infectious and parasitic diseases	A20_A28	Certain zoonotic bacterial diseases	A24	Glanders and melioidosis	A242	Subacute and chronic melioidosis	T
1.0	Certain infectious and parasitic diseases	A20_A28	Certain zoonotic bacterial diseases	A24	Glanders and melioidosis	A243	Other melioidosis	T
1.0	Certain infectious and parasitic diseases	A20_A28	Certain zoonotic bacterial diseases	A24	Glanders and melioidosis	A244	Melioidosis, unspecified	T
1.0	Certain infectious and parasitic diseases	A20_A28	Certain zoonotic bacterial diseases	A25	Rat-bite fevers	A25	Rat-bite fevers	N
1.0	Certain infectious and parasitic diseases	A20_A28	Certain zoonotic bacterial diseases	A25	Rat-bite fevers	A250	Spirillosis	T
1.0	Certain infectious and parasitic diseases	A20_A28	Certain zoonotic bacterial diseases	A25	Rat-bite fevers	A251	Streptobacillosis	T
1.0	Certain infectious and parasitic diseases	A20_A28	Certain zoonotic bacterial diseases	A25	Rat-bite fevers	A259	Rat-bite fever, unspecified	T
1.0	Certain infectious and parasitic diseases	A20_A28	Certain zoonotic bacterial diseases	A26	Erysipeloid	A26	Erysipeloid	N
1.0	Certain infectious and parasitic diseases	A20_A28	Certain zoonotic bacterial diseases	A26	Erysipeloid	A260	Cutaneous erysipeloid	T
1.0	Certain infectious and parasitic diseases	A20_A28	Certain zoonotic bacterial diseases	A26	Erysipeloid	A267	Erysipelothrix sepsis	T
1.0	Certain infectious and parasitic diseases	A20_A28	Certain zoonotic bacterial diseases	A26	Erysipeloid	A268	Other forms of erysipeloid	T
1.0	Certain infectious and parasitic diseases	A20_A28	Certain zoonotic bacterial diseases	A26	Erysipeloid	A269	Erysipeloid, unspecified	T
1.0	Certain infectious and parasitic diseases	A20_A28	Certain zoonotic bacterial diseases	A27	Leptospirosis	A27	Leptospirosis	N
1.0	Certain infectious and parasitic diseases	A20_A28	Certain zoonotic bacterial diseases	A27	Leptospirosis	A270	Leptospirosis icterohaemorrhagica	T
1.0	Certain infectious and parasitic diseases	A20_A28	Certain zoonotic bacterial diseases	A27	Leptospirosis	A278	Other forms of leptospirosis	T
1.0	Certain infectious and parasitic diseases	A20_A28	Certain zoonotic bacterial diseases	A27	Leptospirosis	A279	Leptospirosis, unspecified	T
1.0	Certain infectious and parasitic diseases	A20_A28	Certain zoonotic bacterial diseases	A28	Other zoonotic bacterial diseases, not elsewhere classified	A28	Other zoonotic bacterial diseases, not elsewhere classified	N
1.0	Certain infectious and parasitic diseases	A20_A28	Certain zoonotic bacterial diseases	A28	Other zoonotic bacterial diseases, not elsewhere classified	A280	Pasteurellosis	T
1.0	Certain infectious and parasitic diseases	A20_A28	Certain zoonotic bacterial diseases	A28	Other zoonotic bacterial diseases, not elsewhere classified	A281	Cat-scratch disease	T
1.0	Certain infectious and parasitic diseases	A20_A28	Certain zoonotic bacterial diseases	A28	Other zoonotic bacterial diseases, not elsewhere classified	A282	Extraintestinal yersiniosis	T
1.0	Certain infectious and parasitic diseases	A20_A28	Certain zoonotic bacterial diseases	A28	Other zoonotic bacterial diseases, not elsewhere classified	A288	Other specified zoonotic bacterial diseases, not elsewhere classified	T
1.0	Certain infectious and parasitic diseases	A20_A28	Certain zoonotic bacterial diseases	A28	Other zoonotic bacterial diseases, not elsewhere classified	A289	Zoonotic bacterial disease, unspecified	T
1.0	Certain infectious and parasitic diseases	A30_A49	Other bacterial diseases	A30	Leprosy [Hansen disease]	A30	Leprosy [Hansen disease]	N
1.0	Certain infectious and parasitic diseases	A30_A49	Other bacterial diseases	A30	Leprosy [Hansen disease]	A300	Indeterminate leprosy	T
1.0	Certain infectious and parasitic diseases	A30_A49	Other bacterial diseases	A30	Leprosy [Hansen disease]	A301	Tuberculoid leprosy	T
1.0	Certain infectious and parasitic diseases	A30_A49	Other bacterial diseases	A30	Leprosy [Hansen disease]	A302	Borderline tuberculoid leprosy	T
1.0	Certain infectious and parasitic diseases	A30_A49	Other bacterial diseases	A30	Leprosy [Hansen disease]	A303	Borderline leprosy	T
1.0	Certain infectious and parasitic diseases	A30_A49	Other bacterial diseases	A30	Leprosy [Hansen disease]	A304	Borderline lepromatous leprosy	T
1.0	Certain infectious and parasitic diseases	A30_A49	Other bacterial diseases	A30	Leprosy [Hansen disease]	A305	Lepromatous leprosy	T
1.0	Certain infectious and parasitic diseases	A30_A49	Other bacterial diseases	A30	Leprosy [Hansen disease]	A308	Other forms of leprosy	T
1.0	Certain infectious and parasitic diseases	A30_A49	Other bacterial diseases	A30	Leprosy [Hansen disease]	A309	Leprosy, unspecified	T
1.0	Certain infectious and parasitic diseases	A30_A49	Other bacterial diseases	A31	Infection due to other mycobacteria	A31	Infection due to other mycobacteria	N
1.0	Certain infectious and parasitic diseases	A30_A49	Other bacterial diseases	A31	Infection due to other mycobacteria	A310	Pulmonary mycobacterial infection	T
1.0	Certain infectious and parasitic diseases	A30_A49	Other bacterial diseases	A31	Infection due to other mycobacteria	A311	Cutaneous mycobacterial infection	T
1.0	Certain infectious and parasitic diseases	A30_A49	Other bacterial diseases	A31	Infection due to other mycobacteria	A318	Other mycobacterial infections	T
1.0	Certain infectious and parasitic diseases	A30_A49	Other bacterial diseases	A31	Infection due to other mycobacteria	A319	Mycobacterial infection, unspecified	T
1.0	Certain infectious and parasitic diseases	A30_A49	Other bacterial diseases	A32	Listeriosis	A32	Listeriosis	N
1.0	Certain infectious and parasitic diseases	A30_A49	Other bacterial diseases	A32	Listeriosis	A320	Cutaneous listeriosis	T
1.0	Certain infectious and parasitic diseases	A30_A49	Other bacterial diseases	A32	Listeriosis	A321	Listerial meningitis and meningoencephalitis	T
1.0	Certain infectious and parasitic diseases	A30_A49	Other bacterial diseases	A32	Listeriosis	A327	Listerial sepsis	T
1.0	Certain infectious and parasitic diseases	A30_A49	Other bacterial diseases	A32	Listeriosis	A328	Other forms of listeriosis	T
1.0	Certain infectious and parasitic diseases	A30_A49	Other bacterial diseases	A32	Listeriosis	A329	Listeriosis, unspecified	T
1.0	Certain infectious and parasitic diseases	A30_A49	Other bacterial diseases	A33	Tetanus neonatorum	A33	Tetanus neonatorum	T
1.0	Certain infectious and parasitic diseases	A30_A49	Other bacterial diseases	A34	Obstetrical tetanus	A34	Obstetrical tetanus	T
1.0	Certain infectious and parasitic diseases	A30_A49	Other bacterial diseases	A35	Other tetanus	A35	Other tetanus	T
